timestamps,TP9,AF7,AF8,TP10,Right AUX
1761113996.518,0.000,-9.277,0.000,-94.238,0.000
1761113996.522,0.000,-12.207,0.000,-103.516,0.000
1761113996.526,0.000,-14.648,0.000,-131.348,0.000
1761113996.530,0.000,-10.742,0.000,-152.344,0.000
1761113996.534,0.000,-9.277,0.000,-98.633,0.000
1761113996.538,0.000,-10.254,0.000,-68.359,0.000
1761113996.542,0.000,-7.812,0.000,-80.566,0.000
1761113996.546,0.000,-0.977,0.000,-81.543,0.000
1761113996.550,20.508,-3.906,-9.766,-78.613,0.000
1761113996.553,58.594,-10.742,-15.137,-29.785,0.000
1761113996.557,74.219,-17.090,-12.695,-32.715,0.000
1761113996.561,23.926,-16.602,-13.672,-54.199,0.000
1761113996.565,-20.508,-11.230,-15.625,-84.961,0.000
1761113996.569,-15.625,-6.348,-13.672,-91.797,0.000
1761113996.573,20.996,-8.789,-11.230,-61.035,0.000
1761113996.577,41.504,-5.859,-11.719,-56.152,0.000
1761113996.581,7.324,0.000,-10.742,-85.938,0.000
1761113996.585,-38.574,-8.301,-11.719,-116.699,0.000
1761113996.589,-28.809,-8.301,-14.160,-99.121,0.000
1761113996.593,2.441,-0.488,-15.625,-63.965,0.000
1761113996.596,5.859,-5.371,-18.555,-60.547,0.000
1761113996.600,-19.531,-5.371,-15.137,-59.570,0.000
1761113996.604,-48.340,3.418,-5.859,-82.031,0.000
1761113996.608,-35.156,2.930,-6.348,-77.637,0.000
1761113996.612,-2.441,0.977,-8.301,-39.551,0.000
1761113996.616,-9.766,2.930,-8.301,-45.410,0.000
1761113996.620,-27.344,2.930,-12.207,-71.289,0.000
1761113996.624,-57.617,1.465,-14.160,-114.258,0.000
1761113996.628,-46.387,0.488,-16.602,-105.957,0.000
1761113996.632,-27.832,1.465,-19.531,-78.125,0.000
1761113996.635,-23.438,4.883,-17.578,-59.570,0.000
1761113996.639,-20.508,3.906,-17.090,-47.852,0.000
1761113996.643,-43.457,-1.953,-17.090,-77.148,0.000
1761113996.647,-69.824,-3.906,-15.625,-106.445,0.000
1761113996.651,-55.664,-5.859,-12.207,-68.848,0.000
1761113996.655,-19.531,-4.883,-14.160,-33.691,0.000
1761113996.659,-14.160,1.465,-17.578,-41.016,0.000
1761113996.663,-34.668,1.465,-19.043,-71.777,0.000
1761113996.667,-56.641,-2.441,-18.555,-82.520,0.000
1761113996.671,-49.316,-4.883,-22.949,-62.012,0.000
1761113996.675,-27.832,-8.789,-25.391,-53.711,0.000
1761113996.678,-16.113,-9.277,-19.531,-30.273,0.000
1761113996.682,-47.852,-7.324,-17.090,-53.223,0.000
1761113996.686,-68.848,-9.277,-22.461,-76.660,0.000
1761113996.690,0.000,-15.625,-21.484,-36.621,0.000
1761113996.694,0.000,-14.160,-14.160,-17.578,0.000
